donor,cell_size,total_intensity,class
4,116.0,8682.0,quiescent
4,195.0,8465.0,quiescent
4,235.0,11644.0,quiescent
4,175.0,3600.0,quiescent
4,168.0,4210.0,quiescent
4,225.0,8442.0,quiescent
4,93.0,3668.0,quiescent
4,141.0,5064.0,quiescent
4,144.0,6088.0,quiescent
4,202.0,4745.0,quiescent
4,198.0,6925.0,quiescent
4,120.0,4128.0,quiescent
4,189.0,5119.0,quiescent
4,252.0,12442.0,quiescent
4,102.0,6560.0,quiescent
4,229.0,8163.0,quiescent
4,177.0,3821.0,quiescent
4,206.0,9843.0,quiescent
4,232.0,9920.0,quiescent
4,203.0,6205.0,quiescent
4,222.0,5936.0,quiescent
4,180.0,9298.0,quiescent
4,201.0,7783.0,quiescent
4,189.0,7141.0,quiescent
4,178.0,3273.0,quiescent
4,213.0,12675.0,quiescent
4,323.0,17078.0,quiescent
4,201.0,5929.0,quiescent
4,222.0,9175.0,quiescent
4,248.0,7531.0,quiescent
4,149.0,4233.0,quiescent
4,210.0,12431.0,quiescent
4,238.0,12052.0,quiescent
4,229.0,13252.0,quiescent
4,207.0,9523.0,quiescent
4,203.0,8827.0,quiescent
4,494.0,17628.0,quiescent
4,100.0,4096.0,quiescent
4,188.0,5937.0,quiescent
4,73.0,4304.0,quiescent
4,312.0,15389.0,quiescent
4,221.0,6850.0,quiescent
4,437.0,24242.0,quiescent
4,326.0,13429.0,quiescent
4,440.0,30316.0,quiescent
4,229.0,10048.0,quiescent
4,176.0,7440.0,quiescent
4,180.0,5739.0,quiescent
4,227.0,5451.0,quiescent
4,243.0,6055.0,quiescent
4,265.0,14678.0,quiescent
4,223.0,5040.0,quiescent
4,189.0,13010.0,quiescent
4,174.0,8841.0,quiescent
4,175.0,7578.0,quiescent
4,225.0,11259.0,quiescent
4,165.0,7020.0,quiescent
4,143.0,8766.0,quiescent
4,197.0,6536.0,quiescent
4,218.0,8344.0,quiescent
4,379.0,23998.0,quiescent
4,197.0,2280.0,quiescent
4,223.0,8881.0,quiescent
4,219.0,6753.0,quiescent
4,223.0,6847.0,quiescent
4,184.0,6094.0,quiescent
4,165.0,10923.0,quiescent
4,199.0,9914.0,quiescent
4,114.0,5290.0,quiescent
4,115.0,3180.0,quiescent
4,185.0,7403.0,quiescent
4,154.0,12481.0,quiescent
4,206.0,11188.0,quiescent
4,188.0,10335.0,quiescent
4,203.0,6523.0,quiescent
4,164.0,4936.0,quiescent
4,197.0,7296.0,quiescent
4,534.0,24683.0,quiescent
4,189.0,6471.0,quiescent
4,226.0,10787.0,quiescent
4,228.0,7292.0,quiescent
4,165.0,3926.0,quiescent
4,213.0,5574.0,quiescent
4,233.0,10337.0,quiescent
4,138.0,4794.0,quiescent
4,335.0,20492.0,quiescent
4,142.0,4465.0,quiescent
4,198.0,4925.0,quiescent
4,178.0,8518.0,quiescent
4,201.0,10909.0,quiescent
4,177.0,5234.0,quiescent
4,204.0,8463.0,quiescent
4,187.0,6603.0,quiescent
4,227.0,13381.0,quiescent
4,175.0,6531.0,quiescent
4,172.0,6527.0,quiescent
4,496.0,34088.0,quiescent
4,190.0,5159.0,quiescent
4,162.0,12610.0,quiescent
4,153.0,6054.0,quiescent
4,228.0,8716.0,quiescent
4,167.0,6368.0,quiescent
4,217.0,7541.0,quiescent
4,182.0,6053.0,quiescent
4,330.0,14630.0,quiescent
4,240.0,4106.0,quiescent
4,134.0,4576.0,quiescent
4,202.0,3766.0,quiescent
4,93.0,2531.0,quiescent
4,325.0,12139.0,quiescent
4,206.0,8559.0,quiescent
4,189.0,10324.0,quiescent
4,187.0,10133.0,quiescent
4,184.0,11455.0,quiescent
4,193.0,10455.0,quiescent
4,194.0,6972.0,quiescent
4,183.0,4122.0,quiescent
4,175.0,9322.0,quiescent
4,159.0,9411.0,quiescent
4,217.0,5696.0,quiescent
4,326.0,13793.0,quiescent
4,319.0,10258.0,quiescent
4,223.0,1364.0,quiescent
4,168.0,6892.0,quiescent
4,447.0,19011.0,quiescent
5,539.0,67306.0,activated
5,511.0,50845.0,activated
5,107.0,21939.0,activated
5,325.0,59733.0,activated
5,466.0,54856.0,activated
5,112.0,12234.0,activated
5,371.0,52366.0,activated
5,453.0,45903.0,activated
5,425.0,50624.0,activated
5,718.0,91288.0,activated
5,181.0,14188.0,activated
5,270.0,35488.0,activated
5,669.0,84161.0,activated
5,719.0,88548.0,activated
5,475.0,65554.0,activated
5,460.0,67704.0,activated
5,174.0,20526.0,activated
5,166.0,24528.0,activated
5,110.0,10003.0,activated
5,82.0,16063.0,activated
5,139.0,5178.0,activated
5,222.0,22087.0,activated
5,180.0,23958.0,activated
5,715.0,196527.0,activated
5,342.0,17136.0,activated
5,445.0,62247.0,activated
5,231.0,44362.0,activated
5,143.0,5750.0,activated
5,166.0,18895.0,activated
5,164.0,5961.0,activated
5,418.0,29290.0,activated
5,627.0,94627.0,activated
5,691.0,60225.0,activated
5,248.0,21620.0,activated
5,581.0,35089.0,activated
5,117.0,12540.0,activated
5,206.0,37010.0,activated
5,369.0,23547.0,activated
5,329.0,24280.0,activated
5,734.0,94564.0,activated
5,169.0,31323.0,activated
5,181.0,29905.0,activated
5,164.0,7059.0,activated
5,482.0,72456.0,activated
5,598.0,50114.0,activated
5,459.0,54045.0,activated
5,150.0,6931.0,activated
5,544.0,91102.0,activated
5,370.0,28538.0,activated
5,192.0,27875.0,activated
5,377.0,54402.0,activated
5,372.0,64357.0,activated
5,223.0,13994.0,activated
5,493.0,24520.0,activated
5,294.0,44299.0,activated
5,1041.0,124052.0,activated
5,537.0,70140.0,activated
5,534.0,69129.0,activated
5,372.0,26679.0,activated
5,885.0,75224.0,activated
5,274.0,19609.0,activated
5,605.0,68543.0,activated
5,417.0,38232.0,activated
5,554.0,65777.0,activated
5,1047.0,137102.0,activated
5,180.0,17558.0,activated
5,64.0,6009.0,activated
5,231.0,16654.0,quiescent
5,168.0,8637.0,quiescent
5,100.0,4940.0,quiescent
5,418.0,39822.0,quiescent
5,190.0,10484.0,quiescent
5,182.0,13523.0,quiescent
5,310.0,10144.0,quiescent
5,151.0,22833.0,quiescent
5,302.0,32853.0,quiescent
5,240.0,12032.0,quiescent
5,192.0,10017.0,quiescent
5,303.0,23390.0,quiescent
5,260.0,21769.0,quiescent
5,208.0,15759.0,quiescent
5,347.0,21532.0,quiescent
5,83.0,6656.0,quiescent
5,204.0,23607.0,quiescent
5,110.0,9218.0,quiescent
5,97.0,11696.0,quiescent
5,477.0,42738.0,quiescent
5,121.0,9734.0,quiescent
5,247.0,11945.0,quiescent
5,142.0,8725.0,quiescent
5,144.0,7335.0,quiescent
5,438.0,33831.0,quiescent
6,626.0,118882.0,activated
6,388.0,39215.0,activated
6,679.0,78323.0,activated
6,260.0,24090.0,activated
6,52.0,5474.0,activated
6,380.0,42083.0,activated
6,627.0,74950.0,activated
6,725.0,32546.0,activated
6,1192.0,98386.0,activated
6,443.0,58791.0,activated
6,886.0,85687.0,activated
6,828.0,134625.0,activated
6,684.0,107026.0,activated
6,412.0,56217.0,activated
6,618.0,68916.0,activated
6,369.0,30890.0,activated
6,1050.0,112592.0,activated
6,140.0,22564.0,activated
6,521.0,52333.0,activated
6,294.0,17899.0,activated
6,595.0,69485.0,activated
6,287.0,51346.0,activated
6,159.0,16451.0,activated
6,1101.0,173310.0,activated
6,514.0,38280.0,activated
6,191.0,20452.0,activated
6,603.0,79776.0,activated
6,543.0,29455.0,activated
6,613.0,60379.0,activated
